date,국고1Y,국고2Y,국고3Y,국고5Y,국고10Y,국고20Y,국고30Y,AA공모1Y,AA공모2Y,AA공모3Y,AA공모5Y,spread_credit_3Y,spread_credit_5Y,spread_kt_10_3,spread_kt_30_10
2026-02-19,2.646,2.9,3.176,3.425,3.585,3.62,3.535,3.213,3.508,3.706,3.908,53.0,48.3,40.9,-5.0
2026-02-20,2.645,2.87,3.14,3.386,3.537,3.568,3.474,3.206,3.476,3.675,3.872,53.5,48.6,39.7,-6.3
2026-02-23,2.647,2.88,3.155,3.405,3.576,3.6,3.511,3.212,3.478,3.691,3.891,53.6,48.6,42.1,-6.5
2026-02-24,2.66,2.88,3.155,3.407,3.588,3.62,3.537,3.214,3.482,3.691,3.892,53.6,48.5,43.3,-5.1
2026-02-25,2.68,2.865,3.122,3.382,3.557,3.6,3.525,3.212,3.46,3.662,3.869,54.0,48.7,43.5,-3.2
2026-02-26,2.687,2.825,3.064,3.315,3.472,3.53,3.442,3.209,3.418,3.61,3.805,54.6,49.0,40.8,-3.0
2026-02-27,2.695,2.815,3.04,3.275,3.444,3.509,3.421,3.203,3.404,3.588,3.769,54.8,49.4,40.4,-2.3
2026-03-03,2.739,2.969,3.185,3.43,3.62,3.657,3.578,3.254,3.529,3.732,3.924,54.7,49.4,43.5,-4.2
2026-03-04,2.747,2.979,3.225,3.475,3.636,3.636,3.55,3.259,3.573,3.771,3.969,54.6,49.4,41.1,-8.6
2026-03-05,2.74,2.95,3.18,3.425,3.579,3.586,3.49,3.25,3.539,3.727,3.919,54.7,49.4,39.9,-8.9
2026-03-06,2.754,2.97,3.222,3.472,3.617,3.615,3.517,3.255,3.577,3.769,3.965,54.7,49.3,39.5,-10.0
2026-03-09,2.802,3.098,3.4,3.639,3.741,3.7,3.593,3.304,3.742,3.944,4.126,54.4,48.7,34.1,-14.8
2026-03-10,2.832,3.156,3.28,3.505,3.618,3.62,3.505,3.268,3.615,3.829,4.005,54.9,50.0,33.8,-11.3
2026-03-11,2.808,3.126,3.25,3.47,3.612,3.615,3.505,3.26,3.604,3.799,3.971,54.9,50.1,36.2,-10.7
2026-03-12,2.818,3.135,3.264,3.482,3.648,3.65,3.558,3.272,3.61,3.815,3.984,55.1,50.2,38.4,-9.0
2026-03-13,2.834,3.19,3.332,3.56,3.7,3.705,3.6,3.287,3.673,3.88,4.058,54.8,49.8,36.8,-10.0
2026-03-16,2.825,3.175,3.306,3.562,3.68,3.69,3.587,3.275,3.658,3.855,4.058,54.9,49.6,37.4,-9.3
2026-03-17,2.835,3.185,3.326,3.582,3.7,3.694,3.576,3.275,3.666,3.875,4.078,54.9,49.6,37.4,-12.4
2026-03-18,2.83,3.146,3.264,3.517,3.61,3.63,3.506,3.267,3.628,3.817,4.014,55.3,49.7,34.6,-10.4
2026-03-19,2.882,3.211,3.328,3.579,3.685,3.671,3.557,3.288,3.684,3.882,4.077,55.4,49.8,35.7,-12.8
2026-03-20,2.957,3.31,3.412,3.615,3.735,3.698,3.585,3.332,3.779,3.965,4.115,55.3,50.0,32.3,-15.0
2026-03-23,3.027,3.52,3.63,3.837,3.884,3.835,3.725,3.389,3.995,4.183,4.336,55.3,49.9,25.4,-15.9
2026-03-24,3.008,3.446,3.532,3.755,3.838,3.822,3.701,3.391,3.949,4.093,4.255,56.1,50.0,30.6,-13.7
2026-03-25,3.039,3.475,3.555,3.782,3.854,3.835,3.717,3.416,3.976,4.12,4.281,56.5,49.9,29.9,-13.7
2026-03-26,3.049,3.454,3.545,3.788,3.85,3.875,3.759,3.47,3.967,4.113,4.287,56.8,49.9,30.5,-9.1
2026-03-27,3.067,3.507,3.592,3.84,3.925,3.932,3.819,3.509,4.021,4.169,4.337,57.7,49.7,33.3,-10.6
2026-03-30,3.06,3.47,3.542,3.8,3.895,3.895,3.79,3.508,3.987,4.123,4.297,58.1,49.7,35.3,-10.5
2026-03-31,3.056,3.485,3.555,3.771,3.877,3.863,3.77,3.51,3.999,4.139,4.27,58.4,49.9,32.2,-10.7
2026-04-01,2.995,3.325,3.37,3.567,3.69,3.68,3.61,3.455,3.868,3.967,4.077,59.7,51.0,32.0,-8.0
2026-04-02,3.018,3.389,3.475,3.67,3.795,3.75,3.701,3.459,3.949,4.073,4.181,59.8,51.1,32.0,-9.4
2026-04-03,3.009,3.36,3.444,3.618,3.744,3.69,3.622,3.451,3.919,4.042,4.133,59.8,51.5,30.0,-12.2
2026-04-06,2.997,3.337,3.43,3.592,3.725,3.687,3.611,3.442,3.9,4.03,4.111,60.0,51.9,29.5,-11.4
2026-04-07,2.994,3.332,3.445,3.617,3.755,3.725,3.637,3.449,3.905,4.05,4.135,60.5,51.8,31.0,-11.8
2026-04-08,2.907,3.201,3.319,3.479,3.632,3.612,3.53,3.369,3.78,3.932,4.003,61.3,52.4,31.3,-10.2
2026-04-09,2.908,3.2,3.329,3.483,3.655,3.641,3.572,3.384,3.792,3.945,4.011,61.6,52.8,32.6,-8.3
2026-04-10,2.917,3.225,3.357,3.514,3.685,3.645,3.569,3.393,3.815,3.974,4.042,61.7,52.8,32.8,-11.6
2026-04-13,2.921,3.242,3.38,3.55,3.712,3.677,3.601,3.4,3.836,3.997,4.076,61.7,52.6,33.2,-11.1
2026-04-14,2.916,3.203,3.337,3.516,3.652,3.63,3.537,3.389,3.797,3.955,4.041,61.8,52.5,31.5,-11.5
2026-04-15,2.924,3.2,3.332,3.52,3.655,3.622,3.532,3.383,3.797,3.952,4.045,62.0,52.5,32.3,-12.3
2026-04-16,2.925,3.2,3.337,3.54,3.671,3.632,3.54,3.383,3.797,3.957,4.065,62.0,52.5,33.4,-13.1
2026-04-17,2.93,3.229,3.37,3.577,3.715,3.677,3.579,3.385,3.817,3.989,4.102,61.9,52.5,34.5,-13.6
2026-04-20,2.925,3.215,3.347,3.567,3.685,3.65,3.567,3.381,3.802,3.966,4.09,61.9,52.3,33.8,-11.8
